"","time.index","tv.volume","tv.spend","radio.volume","radio.spend","press.volume","press.spend","total.spend","brand.sales","competitor.sales","revenue","profit","tv.budget.index","tv.budget","radio.budget.index","radio.budget","press.budget.index","press.budget"
"1",53,0,0,4383521,21919.2157063003,6083696,20074.0866313327,41993.3023376329,564134,2432546,4513072,4471078.69766237,2,2400000,2,4e+05,2,9e+05
"2",54,0,0,0,0,5902953,19486.5403777058,19486.5403777058,552224,2435713,4417792,4398305.45962229,2,2400000,2,4e+05,2,9e+05
"3",55,0,0,1543691,7722.61657147724,6041334,19928.7574182595,27651.3739897367,485665,2167834,3885320,3857668.62601026,2,2400000,2,4e+05,2,9e+05
"4",56,0,0,0,0,1863748,6153.06914722383,6153.06914722383,425011,2000996,3400088,3393934.93085278,2,2400000,2,4e+05,2,9e+05
"5",57,0,0,2025187,10112.3460702549,7655130,25269.247223636,35381.5932938908,420922,1920130,3367376,3331994.40670611,2,2400000,2,4e+05,2,9e+05
"6",58,0,0,1397348,6993.20356119219,3209219,10594.2490327605,17587.4525939527,421481,2007608,3371848,3354260.54740605,2,2400000,2,4e+05,2,9e+05
"7",59,0,0,0,0,6346212,20950.956715141,20950.956715141,461710,2152422,3693680,3672729.04328486,2,2400000,2,4e+05,2,9e+05
"8",60,0,0,9271256,46356.3768550405,6824261,22518.8928206768,68875.2696757172,423909,1971581,3391272,3322396.73032428,2,2400000,2,4e+05,2,9e+05
"9",61,0,0,0,0,6143460,20269.0099127457,20269.0099127457,310627,1453394,2485016,2464746.99008725,2,2400000,2,4e+05,2,9e+05
"10",62,0,0,172196,864.959927873575,5116782,16885.6783975676,17750.6383254412,422847,2005807,3382776,3365025.36167456,2,2400000,2,4e+05,2,9e+05
"11",63,0,0,3463768,17331.020970608,4697396,15498.7343661551,32829.7553367631,390822,1864056,3126576,3093746.24466324,2,2400000,2,4e+05,2,9e+05
"12",64,0,0,0,0,3320323,10963.996944169,10963.996944169,364847,1769247,2918776,2907812.00305583,2,2400000,2,4e+05,2,9e+05
"13",65,0,0,0,0,1974391,6515.97871552746,6515.97871552746,451809,2246541,3614472,3607956.02128447,2,2400000,2,4e+05,2,9e+05
"14",66,0,0,0,0,4077870,13464.1697562176,13464.1697562176,405833,1997804,3246664,3233199.83024378,2,2400000,2,4e+05,2,9e+05
"15",67,0,0,0,0,3512002,11586.5229364056,11586.5229364056,352648,1741931,2821184,2809597.47706359,2,2400000,2,4e+05,2,9e+05
